feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
chemotyper,DT40_genotoxicity,RandomForest,2,9014,2781,0.3085,0.7965,0.6492,0.4226,0.6941,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,DT40_genotoxicity,RandomForest,3,9014,2781,0.3085,0.7959,0.633,0.4456,0.7044,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,DT40_genotoxicity,RandomForest,4,9014,2781,0.3085,0.7901,0.6479,0.4076,0.6876,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,DT40_genotoxicity,RandomForest,0,9014,2781,0.3085,0.8072,0.6258,0.3847,0.6842,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,DT40_genotoxicity,RandomForest,1,9014,2781,0.3085,0.7847,0.6215,0.4115,0.691,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,DT40_genotoxicity,RandomForest,2,9014,2781,0.3085,0.8001,0.6565,0.4304,0.697,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,DT40_genotoxicity,RandomForest,3,9014,2781,0.3085,0.7976,0.6324,0.435,0.7023,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,DT40_genotoxicity,RandomForest,4,9014,2781,0.3085,0.7872,0.6416,0.4196,0.6966,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,MMP_ratio,RandomForest,0,9014,1268,0.1407,0.875,0.542,0.4062,0.6625,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,MMP_ratio,RandomForest,1,9014,1268,0.1407,0.8545,0.5215,0.3931,0.6624,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,MMP_ratio,RandomForest,2,9014,1268,0.1407,0.8641,0.5451,0.4175,0.6637,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,MMP_ratio,RandomForest,3,9014,1268,0.1407,0.8625,0.5302,0.4243,0.6689,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,MMP_ratio,RandomForest,4,9014,1268,0.1407,0.8636,0.5314,0.3786,0.643,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,MMP_ratio,RandomForest,0,9014,1268,0.1407,0.8666,0.5318,0.4307,0.6733,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,MMP_ratio,RandomForest,1,9014,1268,0.1407,0.8567,0.5212,0.3746,0.6552,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,MMP_ratio,RandomForest,2,9014,1268,0.1407,0.8592,0.5287,0.4101,0.6667,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,MMP_ratio,RandomForest,3,9014,1268,0.1407,0.8569,0.5107,0.402,0.6571,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,MMP_ratio,RandomForest,4,9014,1268,0.1407,0.8537,0.5247,0.393,0.6479,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2D6_antagonist,RandomForest,0,9014,3350,0.3716,0.7294,0.6277,0.3109,0.6488,"{'max_features': 'sqrt', 'n_estimators': 200}"
chemotyper,CYP2D6_antagonist,RandomForest,1,9014,3350,0.3716,0.7263,0.6007,0.3376,0.6642,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2D6_antagonist,RandomForest,2,9014,3350,0.3716,0.7338,0.6254,0.3239,0.6591,"{'max_features': 0.2, 'n_estimators': 400}"
chemotyper,CYP2D6_antagonist,RandomForest,3,9014,3350,0.3716,0.7542,0.6536,0.3782,0.6852,"{'max_features': 'sqrt', 'n_estimators': 200}"
chemotyper,CYP2D6_antagonist,RandomForest,4,9014,3350,0.3716,0.7269,0.5978,0.3444,0.6683,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2D6_antagonist,RandomForest,0,9014,3350,0.3716,0.7305,0.6168,0.3241,0.6536,"{'max_features': 'sqrt', 'n_estimators': 200}"
pycsrml,CYP2D6_antagonist,RandomForest,1,9014,3350,0.3716,0.7244,0.6068,0.328,0.6613,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,CYP2D6_antagonist,RandomForest,2,9014,3350,0.3716,0.7263,0.6206,0.3007,0.6477,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,CYP2D6_antagonist,RandomForest,3,9014,3350,0.3716,0.7508,0.6444,0.3508,0.6711,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,CYP2D6_antagonist,RandomForest,4,9014,3350,0.3716,0.7213,0.5954,0.3147,0.6549,"{'max_features': 0.2, 'n_estimators': 400}"
