bit_index,bit_name,accuracy,ct_prevalence,py_prevalence
472,chain:aromaticAlkane_Ar-C_ortho,1.0,0.009318837364100288,0.009318837364100288
471,chain:aromaticAlkane_Ar-C_meta,1.0,0.023408031950299533,0.023408031950299533
470,chain:alkyne_ethyne_generic,1.0,0.00787663634346572,0.00787663634346572
468,chain:alkeneLinear_mono-ene_vinyl,1.0,0.002329709341025072,0.002329709341025072
467,chain:alkeneLinear_mono-ene_oleic_(C18),1.0,0.0003328156201464389,0.0003328156201464389
466,chain:alkeneLinear_mono-ene_ethylene_generic,1.0,0.10383847348568893,0.10383847348568893
464,chain:alkeneLinear_mono-ene_ehtylene_terminal,1.0,0.02895495895274018,0.02895495895274018
492,chain:aromaticAlkene_Ph-C4_phenylbutadiene,1.0,0.0003328156201464389,0.0003328156201464389
491,chain:aromaticAlkene_Ph-C4_isocrotylbenzene,1.0,0.0009984468604393166,0.0009984468604393166
490,chain:aromaticAlkene_Ph-C3,1.0,0.002662524961171511,0.002662524961171511
489,chain:aromaticAlkene_Ph-C2,1.0,0.01874861326824939,0.01874861326824939
488,chain:aromaticAlkene_Ph-C2_styrene,1.0,0.0119813623252718,0.0119813623252718
487,chain:aromaticAlkene_Ph-C2_acyclic_generic,1.0,0.02218770800976259,0.02218770800976259
485,chain:aromaticAlkane_Ph-C12,1.0,0.0006656312402928778,0.0006656312402928778
484,chain:aromaticAlkane_Ph-C10,1.0,0.0008875083203905037,0.0008875083203905037
483,chain:aromaticAlkane_Ph-C9_nonylphenyl,1.0,0.0009984468604393166,0.0009984468604393166
482,chain:aromaticAlkane_Ph-C8,1.0,0.0013312624805857556,0.0013312624805857556
481,chain:aromaticAlkane_Ph-C6,1.0,0.0021078322609274463,0.0021078322609274463
480,chain:aromaticAlkane_Ph-C4,1.0,0.004104725981806079,0.004104725981806079
191,bond:CX_halide_generic-X_dihalo_(1_2-),1.0,0.05103172842245396,0.05103172842245396
190,bond:CX_halide_aromatic-X_trihalo_benzene_(1_3_5-),1.0,0.006212558242733526,0.006212558242733526
189,bond:CX_halide_aromatic-X_trihalo_benzene_(1_2_3-),1.0,0.004437541601952518,0.004437541601952518
187,bond:CX_halide_aromatic-X_halo_phenol_ortho,1.0,0.02107832260927446,0.02107832260927446
185,bond:CX_halide_aromatic-X_halo_phenol,1.0,0.0005546927002440647,0.0005546927002440647
183,bond:CX_halide_aromatic-X_ether_aromatic_(Ph-O-Ph)_generic,1.0,0.004659418682050144,0.004659418682050144
181,bond:CX_halide_aromatic-X_dihalo_benzene_(1_4-),1.0,0.010428222764588418,0.010428222764588418
180,bond:CX_halide_aromatic-X_dihalo_benzene_(1_3-),1.0,0.03960505879742623,0.03960505879742623
179,bond:CX_halide_aromatic-X_dihalo_benzene_(1_2-),1.0,0.01575327268693144,0.01575327268693144
