feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
chemotyper,DT40_genotoxicity,RandomForest,4,9014,2781,0.3085,0.7897,0.646,0.4133,0.6913,fixed
pycsrml,DT40_genotoxicity,RandomForest,0,9014,2781,0.3085,0.8074,0.6289,0.3992,0.6888,fixed
pycsrml,DT40_genotoxicity,RandomForest,1,9014,2781,0.3085,0.7923,0.6389,0.4234,0.6951,fixed
pycsrml,DT40_genotoxicity,RandomForest,2,9014,2781,0.3085,0.7988,0.6494,0.4343,0.6971,fixed
pycsrml,DT40_genotoxicity,RandomForest,3,9014,2781,0.3085,0.7969,0.6315,0.4318,0.6994,fixed
pycsrml,DT40_genotoxicity,RandomForest,4,9014,2781,0.3085,0.7923,0.6561,0.4261,0.6974,fixed
chemotyper,MMP_ratio,RandomForest,0,9014,1268,0.1407,0.8742,0.5422,0.4037,0.6648,fixed
chemotyper,MMP_ratio,RandomForest,1,9014,1268,0.1407,0.8542,0.5213,0.3763,0.6542,fixed
chemotyper,MMP_ratio,RandomForest,2,9014,1268,0.1407,0.8615,0.5408,0.4095,0.6611,fixed
chemotyper,MMP_ratio,RandomForest,3,9014,1268,0.1407,0.8616,0.5298,0.4243,0.6689,fixed
chemotyper,MMP_ratio,RandomForest,4,9014,1268,0.1407,0.865,0.5349,0.3804,0.6446,fixed
pycsrml,MMP_ratio,RandomForest,0,9014,1268,0.1407,0.8698,0.5351,0.4295,0.6773,fixed
pycsrml,MMP_ratio,RandomForest,1,9014,1268,0.1407,0.8535,0.5143,0.3801,0.6562,fixed
pycsrml,MMP_ratio,RandomForest,2,9014,1268,0.1407,0.8638,0.531,0.4104,0.6653,fixed
pycsrml,MMP_ratio,RandomForest,3,9014,1268,0.1407,0.856,0.5204,0.3973,0.6591,fixed
pycsrml,MMP_ratio,RandomForest,4,9014,1268,0.1407,0.8604,0.5315,0.3921,0.6506,fixed
chemotyper,CYP2D6_antagonist,RandomForest,0,9014,3350,0.3716,0.7294,0.6277,0.3109,0.6488,fixed
chemotyper,CYP2D6_antagonist,RandomForest,1,9014,3350,0.3716,0.7243,0.597,0.33,0.6599,fixed
chemotyper,CYP2D6_antagonist,RandomForest,2,9014,3350,0.3716,0.7321,0.6208,0.3132,0.6523,fixed
chemotyper,CYP2D6_antagonist,RandomForest,3,9014,3350,0.3716,0.7542,0.6536,0.3782,0.6852,fixed
chemotyper,CYP2D6_antagonist,RandomForest,4,9014,3350,0.3716,0.7264,0.5952,0.3451,0.6694,fixed
pycsrml,CYP2D6_antagonist,RandomForest,0,9014,3350,0.3716,0.7302,0.6241,0.323,0.6532,fixed
pycsrml,CYP2D6_antagonist,RandomForest,1,9014,3350,0.3716,0.7271,0.5974,0.3289,0.6604,fixed
pycsrml,CYP2D6_antagonist,RandomForest,2,9014,3350,0.3716,0.7305,0.6259,0.3213,0.6565,fixed
pycsrml,CYP2D6_antagonist,RandomForest,3,9014,3350,0.3716,0.7564,0.6522,0.3568,0.6739,fixed
pycsrml,CYP2D6_antagonist,RandomForest,4,9014,3350,0.3716,0.7237,0.5957,0.3207,0.6566,fixed
chemotyper,CYP2C19_antagonist,RandomForest,0,9014,2446,0.2714,0.7972,0.6157,0.4201,0.6883,fixed
chemotyper,CYP2C19_antagonist,RandomForest,1,9014,2446,0.2714,0.7524,0.5541,0.3349,0.6477,fixed
chemotyper,CYP2C19_antagonist,RandomForest,2,9014,2446,0.2714,0.7613,0.565,0.3611,0.6613,fixed
chemotyper,CYP2C19_antagonist,RandomForest,3,9014,2446,0.2714,0.7702,0.5793,0.3524,0.6588,fixed
chemotyper,CYP2C19_antagonist,RandomForest,4,9014,2446,0.2714,0.7841,0.5868,0.377,0.6719,fixed
pycsrml,CYP2C19_antagonist,RandomForest,0,9014,2446,0.2714,0.7934,0.6168,0.4183,0.6906,fixed
pycsrml,CYP2C19_antagonist,RandomForest,1,9014,2446,0.2714,0.7485,0.5509,0.3397,0.6512,fixed
pycsrml,CYP2C19_antagonist,RandomForest,2,9014,2446,0.2714,0.765,0.5725,0.3769,0.6702,fixed
pycsrml,CYP2C19_antagonist,RandomForest,3,9014,2446,0.2714,0.7629,0.572,0.3498,0.6572,fixed
pycsrml,CYP2C19_antagonist,RandomForest,4,9014,2446,0.2714,0.7884,0.5948,0.3905,0.6779,fixed
chemotyper,CYP2C9_antagonist,RandomForest,0,9014,2883,0.3198,0.7898,0.6446,0.3839,0.682,fixed
chemotyper,CYP2C9_antagonist,RandomForest,1,9014,2883,0.3198,0.7939,0.6351,0.4019,0.6879,fixed
chemotyper,CYP2C9_antagonist,RandomForest,2,9014,2883,0.3198,0.7896,0.6223,0.388,0.6821,fixed
chemotyper,CYP2C9_antagonist,RandomForest,3,9014,2883,0.3198,0.8044,0.655,0.4345,0.698,fixed
chemotyper,CYP2C9_antagonist,RandomForest,4,9014,2883,0.3198,0.7941,0.6361,0.4339,0.7028,fixed
pycsrml,CYP2C9_antagonist,RandomForest,0,9014,2883,0.3198,0.7862,0.6461,0.3828,0.6816,fixed
pycsrml,CYP2C9_antagonist,RandomForest,1,9014,2883,0.3198,0.7941,0.6392,0.4098,0.6932,fixed
pycsrml,CYP2C9_antagonist,RandomForest,2,9014,2883,0.3198,0.781,0.6118,0.3742,0.6762,fixed
pycsrml,CYP2C9_antagonist,RandomForest,3,9014,2883,0.3198,0.8075,0.6556,0.4468,0.7049,fixed
pycsrml,CYP2C9_antagonist,RandomForest,4,9014,2883,0.3198,0.7914,0.629,0.4207,0.6988,fixed
chemotyper,CYP3A4_antagonist,RandomForest,0,9014,2219,0.2462,0.8193,0.6028,0.38,0.6527,fixed
chemotyper,CYP3A4_antagonist,RandomForest,1,9014,2219,0.2462,0.793,0.5527,0.3636,0.6582,fixed
chemotyper,CYP3A4_antagonist,RandomForest,2,9014,2219,0.2462,0.8085,0.5809,0.3649,0.6536,fixed
chemotyper,CYP3A4_antagonist,RandomForest,3,9014,2219,0.2462,0.8011,0.5608,0.384,0.6649,fixed
chemotyper,CYP3A4_antagonist,RandomForest,4,9014,2219,0.2462,0.8092,0.5652,0.3963,0.6752,fixed
pycsrml,CYP3A4_antagonist,RandomForest,0,9014,2219,0.2462,0.817,0.6003,0.3851,0.6587,fixed
pycsrml,CYP3A4_antagonist,RandomForest,1,9014,2219,0.2462,0.7938,0.5506,0.3509,0.6488,fixed
pycsrml,CYP3A4_antagonist,RandomForest,2,9014,2219,0.2462,0.8071,0.5781,0.3621,0.6529,fixed
pycsrml,CYP3A4_antagonist,RandomForest,3,9014,2219,0.2462,0.7932,0.5445,0.3558,0.6506,fixed
pycsrml,CYP3A4_antagonist,RandomForest,4,9014,2219,0.2462,0.811,0.5651,0.3899,0.6707,fixed
chemotyper,p53_ratio,RandomForest,0,9014,748,0.083,0.8344,0.3649,0.2799,0.5941,fixed
chemotyper,p53_ratio,RandomForest,1,9014,748,0.083,0.8183,0.3491,0.2958,0.6027,fixed
chemotyper,p53_ratio,RandomForest,2,9014,748,0.083,0.8082,0.3648,0.2988,0.603,fixed
chemotyper,p53_ratio,RandomForest,3,9014,748,0.083,0.8031,0.3259,0.254,0.5906,fixed
chemotyper,p53_ratio,RandomForest,4,9014,748,0.083,0.824,0.3355,0.269,0.5904,fixed
pycsrml,p53_ratio,RandomForest,0,9014,748,0.083,0.8277,0.3502,0.2656,0.5925,fixed
pycsrml,p53_ratio,RandomForest,1,9014,748,0.083,0.823,0.3613,0.2814,0.6037,fixed
pycsrml,p53_ratio,RandomForest,2,9014,748,0.083,0.8049,0.3729,0.288,0.5943,fixed
pycsrml,p53_ratio,RandomForest,3,9014,748,0.083,0.8028,0.3249,0.2178,0.5767,fixed
pycsrml,p53_ratio,RandomForest,4,9014,748,0.083,0.8181,0.3342,0.2633,0.5898,fixed
chemotyper,Caspase3_HEPG2,RandomForest,0,9014,347,0.0385,0.8433,0.3088,0.3023,0.5974,fixed
chemotyper,Caspase3_HEPG2,RandomForest,1,9014,347,0.0385,0.8456,0.3379,0.3394,0.6186,fixed
chemotyper,Caspase3_HEPG2,RandomForest,2,9014,347,0.0385,0.8659,0.3935,0.3759,0.638,fixed
chemotyper,Caspase3_HEPG2,RandomForest,3,9014,347,0.0385,0.8178,0.2693,0.2774,0.5948,fixed
chemotyper,Caspase3_HEPG2,RandomForest,4,9014,347,0.0385,0.841,0.2694,0.2274,0.5806,fixed
pycsrml,Caspase3_HEPG2,RandomForest,0,9014,347,0.0385,0.8587,0.3319,0.3087,0.5977,fixed
pycsrml,Caspase3_HEPG2,RandomForest,1,9014,347,0.0385,0.8495,0.3355,0.3295,0.6116,fixed
pycsrml,Caspase3_HEPG2,RandomForest,2,9014,347,0.0385,0.8618,0.3736,0.3931,0.6517,fixed
pycsrml,Caspase3_HEPG2,RandomForest,3,9014,347,0.0385,0.8228,0.2842,0.2657,0.588,fixed
pycsrml,Caspase3_HEPG2,RandomForest,4,9014,347,0.0385,0.8419,0.2621,0.2195,0.58,fixed
